Essential,Data,Data engineer,Data engineer,Communication skills (data),Awareness,510,Communication skills (data): Awareness,Data engineer,510,531,539,550,555,563,699,738,751,879,898
Essential,Data,Data engineer,Data engineer,Data analysis and synthesis,Working,531,Data analysis and synthesis: Working,EXAMPLE ABOVE,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Data development process,Working,539,Data development process: Working,,,,,,,,,,,,
Desirable,Data,Data engineer,Data engineer,Data innovation,Awareness,550,Data innovation: Awareness,,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Data integration design,Working,555,Data integration design: Working,,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Data modelling,Working,563,Data modelling: Working,,,,,,,,,,,,
Desirable,Data,Data engineer,Data engineer,Metadata management,Working,699,Metadata management: Working,,,,,,,,,,,,
Desirable,Data,Data engineer,Data engineer,Problem resolution (data),Awareness,738,Problem resolution (data): Awareness,,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Programming and build (data engineering),Working,751,Programming and build (data engineering): Working,,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Technical understanding (data engineering),Working,879,Technical understanding (data engineering): Working,,,,,,,,,,,,
Essential,Data,Data engineer,Data engineer,Testing,Awareness,898,Testing: Awareness,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Communication skills (data),Expert,513,Communication skills (data): Expert,Head of data engineering,513,532,541,553,557,563,701,741,753,881,899
Essential,Data,Data engineer,Head of data engineering,Data analysis and synthesis,Practitioner,532,Data analysis and synthesis: Practitioner,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Data development process,Expert,541,Data development process: Expert,,,,,,,,,,,,
Desirable,Data,Data engineer,Head of data engineering,Data innovation,Expert,553,Data innovation: Expert,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Data integration design,Expert,557,Data integration design: Expert,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Data modelling,Working,563,Data modelling: Working,,,,,,,,,,,,
Desirable,Data,Data engineer,Head of data engineering,Metadata management,Expert,701,Metadata management: Expert,,,,,,,,,,,,
Desirable,Data,Data engineer,Head of data engineering,Problem resolution (data),Expert,741,Problem resolution (data): Expert,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Programming and build (data engineering),Expert,753,Programming and build (data engineering): Expert,,,,,,,,,,,,
Essential,Data,Data engineer,Head of data engineering,Technical understanding (data engineering),Expert,881,Technical understanding (data engineering): Expert,,,,,,,,,,,,
